timestamp,plugin,cve,success,aslr,dep,canary
2025-06-09T13:17:35.425181,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:21:50.800992,kernel_exploit,CVE-2025-1234,False,True,True,False
2025-06-09T13:21:54.281394,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:22:36.023539,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:25:06.950327,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:36:32.597526,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:36:38.767814,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:36:46.426523,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:36:57.264773,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:08.624438,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:16.716200,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:20.827353,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:30.230573,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:33.266239,kernel_exploit,CVE-2025-1234,True,True,True,False
2025-06-09T13:37:51.440300,kernel_exploit,CVE-2025-1234,False,True,True,True
2025-06-09T13:37:58.384369,kernel_exploit,CVE-2025-1234,False,True,True,True
2025-06-09T13:38:02.307800,kernel_exploit,CVE-2025-1234,True,True,True,True
